                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.54212,                 1.0562,                0.42036,                0.91645,                 0.7737,                0.75159,                0.82867,                0.59221,                0.76583,                0.74307,                0.81459,                0.56178,                0.72539,                 1.3529,                0.52513,                 1.0799,              0.0006004,              0.0006004,              0.0006004
                     42,                0.51573,                 1.0146,                0.40742,                0.91436,                0.80073,                0.78052,                0.82054,                0.57457,                0.79851,                0.77864,                0.81563,                0.57671,                0.70498,                 1.3613,                0.54654,                 1.0735,             0.00059041,             0.00059041,             0.00059041
                     43,                 0.5304,                 1.0321,                0.41147,                0.92015,                0.70062,                0.85365,                0.84718,                 0.6189,                0.69778,                0.84842,                0.83612,                0.58815,                0.69552,                 1.3674,                0.51666,                 1.0646,             0.00058042,             0.00058042,             0.00058042
                     44,                0.51385,                 1.0177,                0.39447,                0.91339,                0.84103,                0.78373,                0.86656,                0.64685,                0.83664,                0.77955,                0.85639,                  0.615,                0.71708,                 1.3472,                0.51477,                 1.0595,             0.00057043,             0.00057043,             0.00057043
                     45,                0.52909,                 1.0517,                0.40986,                0.91746,                0.84395,                0.83649,                0.88242,                0.65847,                0.84211,                0.83601,                0.87376,                  0.633,                0.69153,                 1.3425,                 0.5112,                 1.0518,             0.00056044,             0.00056044,             0.00056044
                     46,                0.52592,                 1.0177,                0.40343,                0.91684,                0.85489,                0.83673,                0.88872,                0.66028,                0.85163,                0.83359,                0.87948,                0.63052,                0.71155,                 1.3541,                0.50882,                 1.0688,             0.00055045,             0.00055045,             0.00055045
                     47,                0.50228,                0.99516,                0.38188,                0.90804,                0.78284,                0.85255,                0.84702,                0.63365,                0.77935,                0.84724,                0.83736,                0.60561,                0.69513,                 1.3645,                0.52104,                 1.0593,             0.00054046,             0.00054046,             0.00054046
                     48,                0.53956,                 1.0409,                0.41797,                0.91129,                0.78277,                0.75071,                0.83924,                0.59632,                0.78004,                0.74697,                0.82948,                0.58508,                0.69314,                 1.3397,                0.53144,                 1.0607,             0.00053047,             0.00053047,             0.00053047
                     49,                0.51106,                0.99877,                0.39399,                0.91277,                0.77017,                0.79774,                0.83587,                0.61189,                0.79214,                0.73471,                0.82292,                0.57791,                0.70714,                 1.3651,                0.54085,                 1.0661,             0.00052048,             0.00052048,             0.00052048
                     50,                 0.5374,                 1.0583,                 0.4058,                0.92598,                 0.7261,                0.75437,                0.77958,                0.55317,                0.72118,                0.74914,                 0.7656,                0.54252,                0.70703,                 1.3598,                0.54513,                 1.0751,             0.00051049,             0.00051049,             0.00051049
                     51,                0.52513,                 1.0382,                0.40379,                0.92293,                0.70417,                 0.8547,                0.79569,                 0.5686,                0.69927,                0.84842,                0.78687,                0.55701,                0.71199,                 1.3714,                0.53246,                  1.075,              0.0005005,              0.0005005,              0.0005005
                     52,                0.50296,                0.98489,                0.38026,                0.91444,                0.80996,                0.82436,                0.84885,                0.61898,                0.80546,                0.82018,                0.83617,                0.60202,                0.70257,                  1.354,                0.51938,                 1.0613,             0.00049051,             0.00049051,             0.00049051
                     53,                0.51732,                 1.0052,                0.38181,                0.91556,                0.83925,                0.82443,                0.86755,                0.65034,                 0.7816,                0.77995,                0.84619,                0.61274,                0.69422,                 1.3717,                0.53397,                  1.054,             0.00048052,             0.00048052,             0.00048052
                     54,                0.49687,                0.96505,                0.36952,                0.90839,                0.85167,                0.76143,                0.83058,                0.65056,                0.84272,                0.70417,                0.81536,                0.58945,                0.70115,                 1.3685,                0.53315,                  1.059,             0.00047053,             0.00047053,             0.00047053
                     55,                0.50096,                0.97482,                0.37356,                0.91223,                0.86784,                 0.7601,                0.86092,                0.65819,                0.81057,                0.76969,                0.84789,                0.61911,                0.68674,                 1.3572,                0.50626,                 1.0469,             0.00046054,             0.00046054,             0.00046054
